product_ID,product_name,category,Sub_Category,Customer_Segment,Brand
101,Portable Massage Gun,Electronics,Mobile,Wholesale,Edgeify
102,Emergency Preparedness Kit,Clothing,Shirt,Premium,Blogtag
103,Mini Cordless Vacuum Cleaner,Clothing,Shirt,Premium,Blogspan
104,Cheese Stuffed Jalapenos,Grocery,Mobile,Wholesale,Meevee
105,Organic Coconut Yogurt,Beauty,Mobile,Premium,Oyoyo
106,Frozen Mixed Berries,Home,Shirt,Wholesale,Oba
107,Digital Voice Recorder,Grocery,Laptop,Regular,Camimbo
108,Chocolate Mint Protein Shake,Electronics,Rice,Premium,Flipbug
109,Nail Polish Set,Clothing,Shirt,Premium,Cogidoo
110,Frozen Berry Blend,Clothing,Furniture,Regular,Voolia
111,Italian Meatballs,Clothing,Cosmetics,Wholesale,Yozio
112,Fashionable Belt Bag,Clothing,Cosmetics,Regular,Livetube
113,Canned Black Beans,Beauty,Mobile,Regular,Gabcube
114,Bicycle Repair Kit,Beauty,Furniture,Premium,Wordtune
115,Maple Almond Granola,Clothing,Laptop,Wholesale,Riffpedia
116,Pet Grooming Kit,Beauty,Shirt,Premium,Tagtune
117,Smart Air Purifier,Grocery,Shirt,Wholesale,Browsecat
118,Peach Salsa,Clothing,Furniture,Premium,Roomm
119,Organic Spinach,Home,Rice,Regular,DabZ
120,Portable Charger with Solar Panel,Beauty,Rice,Premium,Tazz
121,Knitted Infinity Scarf,Grocery,Shirt,Premium,Rhybox
122,Creamy Garlic Mashed Potatoes,Grocery,Furniture,Premium,Tambee
123,Creamy Ranch Dressing,Electronics,Shirt,Regular,Katz
124,Aeropress Coffee Maker,Beauty,Shirt,Wholesale,Tazz
125,Ginger Turmeric Shots,Clothing,Mobile,Regular,Realfire
126,Frozen Edamame,Clothing,Laptop,Premium,Rhycero
127,Collapsible Camping Cup,Grocery,Rice,Wholesale,Realbuzz
128,Peanut Butter Banana Smoothie Mix,Electronics,Cosmetics,Premium,Browsezoom
129,Leather Crossbody Bag,Clothing,Shirt,Regular,Edgeify
130,Cotton Sweatpants,Electronics,Furniture,Regular,Digitube
131,Classic Chicken Noodle Soup,Grocery,Mobile,Regular,Trunyx
132,Kale Salad Kit,Electronics,Shirt,Premium,Quimba
133,Oven-Baked Parmesan Zucchini,Home,Rice,Regular,Lazzy
134,Recipe Book Stand,Electronics,Shirt,Regular,Wikizz
135,Wireless Music Receiver,Clothing,Furniture,Wholesale,Aimbo
136,Spicy Thai Chili Sauce,Home,Shirt,Premium,Feedfish
137,Leather Biker Jacket,Electronics,Shirt,Premium,Eadel
138,Plant Growing Kit,Beauty,Rice,Regular,Jaxspan
139,Ribbed Knit Dress,Clothing,Mobile,Regular,Abatz
140,Sliced Bell Peppers,Clothing,Laptop,Wholesale,Edgewire
141,Savory Quinoa Pudding,Beauty,Shirt,Regular,Twitterlist
142,Portable Laptop Table,Home,Shirt,Wholesale,Edgeblab
143,Mechanical Keyboard,Beauty,Cosmetics,Premium,Pixoboo
144,Non-Stick Baking Sheet,Beauty,Furniture,Premium,Wikido
145,Adjustable Dog Harness,Clothing,Cosmetics,Wholesale,Brightbean
146,Organic Green Tea,Electronics,Rice,Premium,Midel
147,Collapsible Folding Chair,Home,Cosmetics,Premium,Rhynyx
148,Coconut Flakes,Electronics,Furniture,Premium,Gabcube
149,Garlic Herb Grilled Chicken,Clothing,Rice,Wholesale,Zooveo
150,Chicken Parmesan Dinner Kit,Beauty,Laptop,Premium,Dazzlesphere
151,Vegetable Pizza Rolls,Electronics,Cosmetics,Premium,Zoozzy
152,Magnet Travel Fridge Magnets,Grocery,Rice,Regular,Viva
153,Chickpea Salad,Grocery,Cosmetics,Premium,Realbridge
154,Honey BBQ Riblets,Clothing,Furniture,Wholesale,Oyonder
155,Lemonade Mix,Electronics,Laptop,Regular,Tazzy
156,Wireless Charger,Clothing,Cosmetics,Regular,Quatz
157,Reclining Camping Chair,Home,Laptop,Regular,Livefish
158,Baked Falafel,Grocery,Rice,Regular,Gabtype
159,Chicken Sausage,Beauty,Laptop,Premium,Rhycero
160,Sunglasses Case,Home,Cosmetics,Regular,Skimia
161,Graphic Print Leggings,Beauty,Furniture,Premium,Photobug
162,Floral Wrap Top,Clothing,Laptop,Premium,Podcat
163,USB Flash Drive,Clothing,Shirt,Premium,Topiclounge
164,Hiking Gaiters,Clothing,Furniture,Regular,Dynava
165,Compact Dishwasher,Home,Cosmetics,Premium,Skynoodle
166,Classic Vanilla Fudge,Grocery,Laptop,Premium,Eayo
167,Electric Food Slicer,Grocery,Laptop,Premium,Flashdog
168,Buffalo Stilton Cheese,Home,Furniture,Regular,Fivechat
169,Cucumber Lime Sparkling Water,Beauty,Laptop,Wholesale,Skyndu
170,Leather Crossbody Bag,Electronics,Shirt,Wholesale,Gigazoom
171,Pet Reflective Vest,Grocery,Cosmetics,Premium,Edgewire
172,Basmati Rice,Home,Mobile,Wholesale,Topiczoom
173,Adjustable Stand for Tablets and Smartphones,Grocery,Mobile,Regular,Voonder
174,Vegetarian Pizza,Electronics,Shirt,Wholesale,Yakidoo
175,Chocolate Chip Cookie Dough,Grocery,Furniture,Regular,Zava
176,Chipotle Lime Salsa,Electronics,Rice,Premium,Babbleblab
177,Kids' Building Blocks,Home,Laptop,Wholesale,Shufflebeat
178,Smoked Salmon,Clothing,Mobile,Wholesale,Jazzy
179,Pet Food Storage Container,Clothing,Cosmetics,Premium,Avavee
180,Collapsible Folding Chair,Grocery,Shirt,Regular,Browsedrive
181,Outdoor Adventure Kit,Beauty,Shirt,Wholesale,Mycat
182,Acoustic Guitar,Beauty,Furniture,Wholesale,Skidoo
183,Oven Mitts,Beauty,Laptop,Regular,Feedfire
184,Compressible Packing Cubes,Clothing,Rice,Premium,Meemm
185,Smoked Salmon,Beauty,Rice,Regular,Flipbug
186,Kombucha Drink,Beauty,Cosmetics,Wholesale,Geba
187,Eco-Friendly Stainless Steel Straws,Clothing,Cosmetics,Wholesale,Photojam
188,Cinnamon Raisin Bagels,Grocery,Laptop,Regular,Jabbersphere
189,Garden Vegetable Soup,Home,Laptop,Regular,Twitternation
190,Portable Pet Water Bottle,Electronics,Mobile,Premium,Vinte
191,Low-Fat Cottage Cheese,Clothing,Rice,Wholesale,Plambee
192,Wireless Charger Stand,Clothing,Mobile,Premium,Trilith
193,Organic Whole Grain Oats,Clothing,Mobile,Wholesale,Skipstorm
194,Creamy Ranch Dressing,Electronics,Laptop,Premium,Yodo
195,Mini Indoor Hydroponic Garden,Home,Cosmetics,Premium,Skipfire
196,Teriyaki Chicken Skewers,Electronics,Laptop,Regular,Fanoodle
197,Organic Coconut Water,Home,Mobile,Premium,Abatz
198,Patterned Knit Scarf,Home,Shirt,Premium,Buzzster
199,Pasta Sauce Mix,Grocery,Rice,Premium,Feedfish
200,Pet Safety Belt for Car,Grocery,Cosmetics,Premium,Skaboo
